ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,PromotionKey,CurrencyKey,SalesTerritoryKey,SalesOrderNumber,SalesOrderLineNumber,RevisionNumber,OrderQuantity,UnitPrice,ExtendedAmount,UnitPriceDiscountPct,DiscountAmount,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmt,Freight,CarrierTrackingNumber,CustomerPONumber,OrderDate,DueDate,ShipDate
535,20140101,20140113,20140108,11051,1,100,9,SO74253,1,1,1,24.99,24.99,0,0,9.3463,9.3463,24.99,1.9992,0.6248,,,1/01/2014 0:00,13/01/2014 0:00,8/01/2014 0:00
528,20140101,20140113,20140108,11051,1,100,9,SO74253,2,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,,,1/01/2014 0:00,13/01/2014 0:00,8/01/2014 0:00
222,20140101,20140113,20140108,11051,1,100,9,SO74253,3,1,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748,,,1/01/2014 0:00,13/01/2014 0:00,8/01/2014 0:00
535,20140101,20140113,20140108,11079,1,100,9,SO74254,1,1,1,24.99,24.99,0,0,9.3463,9.3463,24.99,1.9992,0.6248,,,1/01/2014 0:00,13/01/2014 0:00,8/01/2014 0:00
539,20140101,20140113,20140108,15154,1,100,9,SO74255,1,1,1,24.99,24.99,0,0,9.3463,9.3463,24.99,1.9992,0.6248,,,1/01/2014 0:00,13/01/2014 0:00,8/01/2014 0:00
536,20140101,20140113,20140108,17250,1,100,9,SO74256,1,1,1,29.99,29.99,0,0,11.2163,11.2163,29.99,2.3992,0.7498,,,1/01/2014 0:00,13/01/2014 0:00,8/01/2014 0:00
528,20140101,20140113,20140108,17250,1,100,9,SO74256,2,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,,,1/01/2014 0:00,13/01/2014 0:00,8/01/2014 0:00
485,20140101,20140113,20140108,19091,1,100,9,SO74257,1,1,1,21.98,21.98,0,0,8.2205,8.2205,21.98,1.7584,0.5495,,,1/01/2014 0:00,13/01/2014 0:00,8/01/2014 0:00
485,20140101,20140113,20140108,18304,1,100,9,SO74258,1,1,1,21.98,21.98,0,0,8.2205,8.2205,21.98,1.7584,0.5495,,,1/01/2014 0:00,13/01/2014 0:00,8/01/2014 0:00
480,20140101,20140113,20140108,18304,1,100,9,SO74258,2,1,1,2.29,2.29,0,0,0.8565,0.8565,2.29,0.1832,0.0573,,,1/01/2014 0:00,13/01/2014 0:00,8/01/2014 0:00
476,20140101,20140113,20140108,26772,1,100,9,SO74259,1,1,1,69.99,69.99,0,0,26.1763,26.1763,69.99,5.5992,1.7498,,,1/01/2014 0:00,13/01/2014 0:00,8/01/2014 0:00
489,20140101,20140113,20140108,26772,1,100,9,SO74259,2,1,1,53.99,53.99,0,0,41.5723,41.5723,53.99,4.3192,1.3498,,,1/01/2014 0:00,13/01/2014 0:00,8/01/2014 0:00
541,20140101,20140113,20140108,16486,1,100,9,SO74260,1,1,1,28.99,28.99,0,0,10.8423,10.8423,28.99,2.3192,0.7248,,,1/01/2014 0:00,13/01/2014 0:00,8/01/2014 0:00
530,20140101,20140113,20140108,16486,1,100,9,SO74260,2,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,,,1/01/2014 0:00,13/01/2014 0:00,8/01/2014 0:00
480,20140101,20140113,20140108,16486,1,100,9,SO74260,3,1,1,2.29,2.29,0,0,0.8565,0.8565,2.29,0.1832,0.0573,,,1/01/2014 0:00,13/01/2014 0:00,8/01/2014 0:00
222,20140101,20140113,20140108,11733,1,100,4,SO74261,1,1,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748,,,1/01/2014 0:00,13/01/2014 0:00,8/01/2014 0:00
530,20140101,20140113,20140108,28258,1,100,4,SO74262,1,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,,,1/01/2014 0:00,13/01/2014 0:00,8/01/2014 0:00
480,20140101,20140113,20140108,28258,1,100,4,SO74262,2,1,1,2.29,2.29,0,0,0.8565,0.8565,2.29,0.1832,0.0573,,,1/01/2014 0:00,13/01/2014 0:00,8/01/2014 0:00
540,20140101,20140113,20140108,25189,1,100,1,SO74263,1,1,1,32.6,32.6,0,0,12.1924,12.1924,32.6,2.608,0.815,,,1/01/2014 0:00,13/01/2014 0:00,8/01/2014 0:00
483,20140101,20140113,20140108,25189,1,100,1,SO74263,2,1,1,120,120,0,0,44.88,44.88,120,9.6,3,,,1/01/2014 0:00,13/01/2014 0:00,8/01/2014 0:00
536,20140101,20140113,20140108,22187,1,100,1,SO74264,1,1,1,29.99,29.99,0,0,11.2163,11.2163,29.99,2.3992,0.7498,,,1/01/2014 0:00,13/01/2014 0:00,8/01/2014 0:00
480,20140101,20140113,20140108,22187,1,100,1,SO74264,2,1,1,2.29,2.29,0,0,0.8565,0.8565,2.29,0.1832,0.0573,,,1/01/2014 0:00,13/01/2014 0:00,8/01/2014 0:00
528,20140101,20140113,20140108,22105,1,100,4,SO74265,1,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,,,1/01/2014 0:00,13/01/2014 0:00,8/01/2014 0:00
536,20140101,20140113,20140108,22105,1,100,4,SO74265,2,1,1,29.99,29.99,0,0,11.2163,11.2163,29.99,2.3992,0.7498,,,1/01/2014 0:00,13/01/2014 0:00,8/01/2014 0:00
480,20140101,20140113,20140108,22105,1,100,4,SO74265,3,1,1,2.29,2.29,0,0,0.8565,0.8565,2.29,0.1832,0.0573,,,1/01/2014 0:00,13/01/2014 0:00,8/01/2014 0:00
484,20140101,20140113,20140108,22105,1,100,4,SO74265,4,1,1,7.95,7.95,0,0,2.9733,2.9733,7.95,0.636,0.1988,,,1/01/2014 0:00,13/01/2014 0:00,8/01/2014 0:00
475,20140101,20140113,20140108,20757,1,100,1,SO74266,1,1,1,69.99,69.99,0,0,26.1763,26.1763,69.99,5.5992,1.7498,,,1/01/2014 0:00,13/01/2014 0:00,8/01/2014 0:00
477,20140101,20140113,20140108,16368,1,100,1,SO74267,1,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,,,1/01/2014 0:00,13/01/2014 0:00,8/01/2014 0:00
217,20140101,20140113,20140108,16368,1,100,1,SO74267,2,1,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748,,,1/01/2014 0:00,13/01/2014 0:00,8/01/2014 0:00
228,20140101,20140113,20140108,16368,1,100,1,SO74267,3,1,1,49.99,49.99,0,0,38.4923,38.4923,49.99,3.9992,1.2498,,,1/01/2014 0:00,13/01/2014 0:00,8/01/2014 0:00
225,20140101,20140113,20140108,16368,1,100,1,SO74267,4,1,1,8.99,8.99,0,0,6.9223,6.9223,8.99,0.7192,0.2248,,,1/01/2014 0:00,13/01/2014 0:00,8/01/2014 0:00
528,20140101,20140113,20140108,21925,1,100,6,SO74268,1,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,,,1/01/2014 0:00,13/01/2014 0:00,8/01/2014 0:00
480,20140101,20140113,20140108,21925,1,100,6,SO74268,2,1,1,2.29,2.29,0,0,0.8565,0.8565,2.29,0.1832,0.0573,,,1/01/2014 0:00,13/01/2014 0:00,8/01/2014 0:00
475,20140101,20140113,20140108,14546,1,100,10,SO74269,1,1,1,69.99,69.99,0,0,26.1763,26.1763,69.99,5.5992,1.7498,,,1/01/2014 0:00,13/01/2014 0:00,8/01/2014 0:00
491,20140101,20140113,20140108,14546,1,100,10,SO74269,2,1,1,53.99,53.99,0,0,41.5723,41.5723,53.99,4.3192,1.3498,,,1/01/2014 0:00,13/01/2014 0:00,8/01/2014 0:00
